obs,PRICE,PRICE_FM,PROMOTION,SALE
1,0.9889,0.8371,83,201.792
2,1.0771,0.8413,34,129.116
3,1.0647,0.8369,48,134.545
4,1.1311,0.8426,20,130.002
5,1.128,0.8446,16,123.157
6,1.0036,0.8428,85,197.614
7,1.0856,0.843,43,122.808
8,1.0519,0.8367,51,145.821
9,1.1373,0.8476,15,117.047
10,1.1283,0.8473,22,120.14
11,1.0079,0.8427,87,224.859
12,1.0522,0.8411,50,124.966
13,1.0835,0.8399,44,129.258
14,1.1241,0.8462,25,120.526
15,1.132,0.848,22,116.282
16,0.996,0.7894,78,170.501
17,1.0982,0.781,38,114.943
18,1.0221,0.7576,98,132.906
19,0.9908,0.7557,99,148.759
20,0.9969,0.7406,97,114.084
21,1.0108,0.7413,100,135.542
22,1.0128,0.7566,84,153.58
23,1.0331,0.7745,78,122.768
24,1.0811,0.8021,8,106.142
25,1.1204,0.8223,19,107.769
26,1.1182,0.8194,19,77.541
27,1.1021,0.8178,29,78.282
28,1.1221,0.8204,21,76.608
29,0.9863,0.8211,96,126.435
30,1.0894,0.8181,37,78.965
31,1.0901,0.8205,43,83.409
32,1.1331,0.8221,11,75.457
33,1.0575,0.8177,83,80.099
34,1.0404,0.8169,88,81.682
35,1.0459,0.8179,87,81.108
36,0.9874,0.8193,96,134.159
37,1.0236,0.8137,86,78.819
38,1.0226,0.8157,90,85.232
39,1.0456,0.8171,15,81.752
40,1.0437,0.8101,13,82.674
41,1.0507,0.8157,6,83.947
42,1.0459,0.8172,19,84.25
43,0.8873,0.8087,100,173.156
44,1.0379,0.7698,24,85.217
45,1.0403,0.754,17,86.454
46,1.051,0.7482,6,82.637
47,1.0476,0.7285,24,87.715
48,1.0444,0.7289,28,84.646
49,0.9573,0.7211,100,90.069
50,0.942,0.7185,100,103.831
51,0.8427,0.7106,100,167.95
52,0.9358,0.7133,98,99.71
53,0.8846,0.7111,99,108.604
54,0.953,0.7256,95,121.119
55,0.9183,0.719,85,96.552
56,0.9328,0.702,84,100.406
57,0.8492,0.7248,100,161.105
58,0.9499,0.7261,11,95.142
59,0.9399,0.7278,25,104.089
60,0.9544,0.722,8,92.705
61,0.9533,0.7297,9,87.157
62,0.9543,0.736,8,92.637
63,0.8484,0.7306,98,144.615
64,0.9415,0.731,12,82.861
65,0.9377,0.7304,22,90.403
66,0.8475,0.7272,99,157.824
67,0.9174,0.7279,35,73.423
68,0.9338,0.7211,19,81.45
69,0.9488,0.7303,12,80.416
70,0.9268,0.695,13,91.177
71,0.8485,0.702,99,130.244
72,0.8941,0.7002,45,79.327
73,0.9286,0.7058,25,89.214
74,0.9495,0.7045,6,68.308
75,0.9443,0.7059,13,77.387
76,0.9443,0.7041,14,84.632
77,0.847,0.7018,98,126.863
78,0.9113,0.7032,35,83.945
79,0.9353,0.7043,21,78.622
80,0.9268,0.7016,14,78.788
81,0.9225,0.7002,13,78.606
82,0.9254,0.6826,8,79.474
83,0.9196,0.6782,21,79.252
84,0.9199,0.6801,18,84.451
85,0.8453,0.6757,92,130.626
86,0.8959,0.6769,34,89.786
87,0.9172,0.6788,18,90.399
88,0.9244,0.6815,10,84.402
89,0.9265,0.6808,7,85.101
90,0.9243,0.6809,10,84.363
91,0.9229,0.6765,14,85.137
92,0.9254,0.679,10,90.715
93,0.9247,0.6685,8,87.925
94,0.9246,0.6702,9,85.712
95,0.9218,0.676,13,99.25
96,0.9261,0.7087,9,97.825
97,0.9277,0.7132,7,96.564
98,0.7925,0.7022,90,177.261
99,0.9276,0.7208,4,102.329
100,0.9258,0.7233,7,105.769
101,0.9281,0.7055,5,103.965
102,0.9292,0.7063,6,108.591
103,0.7923,0.7086,91,196.529
104,0.813,0.7082,84,124.6
105,0.9633,0.7242,10,111.841
106,0.9751,0.7314,5,107.245
107,0.7917,0.7125,89,198.732
108,0.9733,0.7267,5,103.984
109,0.9727,0.6761,6,106.089
110,0.9753,0.7114,4,102.532
111,0.9755,0.7331,5,105.292
112,0.9756,0.7306,5,109.53
113,0.9757,0.7357,6,106.335
114,0.9761,0.7302,5,96.472
115,0.9763,0.7127,3,99.02
116,0.9761,0.7347,4,102.529
117,0.79,0.7184,100,237.097
118,0.9557,0.7207,18,79.351
119,0.9663,0.6966,14,94.573
120,0.9725,0.7354,8,97.528
121,0.9751,0.7346,3,101.179
122,0.7898,0.7295,100,221.956
123,0.9727,0.7437,5,87.56
124,0.973,0.7406,10,99.2
125,0.9758,0.7461,3,87.648
126,0.971,0.7327,9,91.268
127,0.9742,0.7593,4,100.773
128,0.9753,0.7573,1,97.762
129,0.9773,0.7602,2,96.124
130,0.977,0.7603,2,98.444
131,0.7904,0.7391,100,202.101
132,1.0313,0.7637,7,93.126
133,1.0453,0.7699,10,88.704
134,1.0554,0.766,3,90.786
135,1.0569,0.7697,1,88.375
136,1.0543,0.7698,2,89.09
137,1.0544,0.739,4,85.831
138,1.055,0.7673,3,95.785
139,0.8903,0.76,100,192.979
140,1.0412,0.7524,17,81.105
141,1.048,0.7656,10,88.746
142,1.0559,0.7663,2,88.658
143,1.0554,0.7689,2,95.471
144,0.7909,0.7424,100,210.709
145,1.0357,0.7649,12,89.787
146,1.0494,0.7651,9,92.802
147,1.0549,0.7674,1,102.187
148,1.0562,0.7679,5,91.702
149,1.0557,0.7554,2,87.625
150,1.0567,0.7675,3,92.004
151,1.0561,0.7663,5,95.099
152,1.057,0.767,2,100.065
153,1.0559,0.7679,5,94.653
154,1.0549,0.7387,3,96.298
155,0.7904,0.7412,100,248.078
156,0.8082,0.7405,98,112.535
157,1.0508,0.7576,11,96.252
158,1.0565,0.777,4,97.516
159,1.0556,0.7745,4,96.337
160,0.8538,0.761,89,210.021
161,1.0498,0.774,8,92.756
162,1.0554,0.745,4,91.864
163,1.0569,0.769,2,96.076
164,1.0563,0.7633,3,86.693
165,1.0525,0.7734,4,96.53
166,1.0556,0.7725,4,91.456
167,1.0554,0.7438,2,93.907
168,0.8534,0.7607,89,203.033
169,1.0374,0.7723,13,92.228
170,1.0506,0.7776,7,83.482
171,1.056,0.7592,4,81.146
172,0.8526,0.7577,90,216.533
173,1.0174,0.7679,19,82.686
174,1.0406,0.7549,11,86.844
175,1.0548,0.7905,4,84.457
176,1.0561,0.7781,1,74.953
177,1.0551,0.8007,1,89.329
178,1.0564,0.7655,1,89.394
179,1.0562,0.8039,1,106.042
180,0.8532,0.7809,89,184.695
181,1.0423,0.8092,9,89.85
182,1.0516,0.7936,8,81.758
183,1.0567,0.815,1,90.935
184,1.0569,0.8119,1,95.794
185,1.0571,0.8151,1,94.837
186,1.0558,0.8149,1,98.637
187,0.8536,0.7975,89,201.799
188,1.0998,0.8175,9,86.499
189,1.1121,0.8121,7,80.952
190,1.1167,0.8216,2,82.904
191,0.8538,0.7947,90,202.023
192,1.0919,0.819,17,80.402
193,1.1134,0.7781,6,77.674
194,1.1174,0.8169,1,78.886
195,1.1192,0.8151,3,87.152
196,0.854,0.7983,88,198.67
197,1.0718,0.8089,21,78.824
198,1.1097,0.8155,8,82.206
199,1.1161,0.8227,3,86.071
200,1.1186,0.8084,1,81.668
201,1.1153,0.8124,3,76.305
202,0.854,0.7836,89,215.173
203,1.1126,0.8064,9,78.171
204,1.1139,0.8088,4,87.338
205,1.1148,0.8106,8,80.937
206,1.1162,0.7874,3,83.061
207,0.8502,0.7853,100,248.842
208,1.1016,0.8054,12,72.957
209,1.1127,0.7985,9,81.948
210,1.1151,0.8082,9,87.55
211,1.1161,0.8077,5,87.831
212,0.8541,0.7871,89,215.437
213,1.1106,0.7855,6,81.873
214,1.1152,0.8066,5,88.32
215,1.1153,0.8084,4,86.244
216,1.1169,0.7995,3,81.656
217,1.1152,0.7876,3,79.382
218,1.1148,0.801,3,79.265
219,0.8532,0.7848,89,202.444
220,1.0599,0.8026,35,75.623
221,1.1022,0.7883,11,77.831
222,0.8473,0.7826,100,226.661
223,1.0615,0.8012,20,67.315
224,1.1027,0.7967,15,74.753
225,1.1091,0.8052,8,77.141
226,0.8535,0.7699,90,207.065
227,1.0863,0.7726,19,71.581
228,1.1097,0.7752,6,73.044
229,1.1115,0.7722,8,80.991
230,0.8454,0.7416,100,176.245
231,1.0666,0.7563,24,71.491
232,1.1048,0.7533,10,70.609
233,1.0968,0.7568,14,69.33
234,1.1083,0.7562,9,74.648
235,0.7905,0.7354,100,220.111
236,1.1018,0.7542,12,70.357
237,1.1111,0.7569,6,71.954
238,1.1139,0.7588,5,67.584
239,1.1098,0.7558,9,69.953
240,1.1101,0.7566,9,68.866
241,1.1128,0.75,8,69.448
242,1.1102,0.7554,9,71.098
243,1.1131,0.7589,6,74.019
244,0.8504,0.7471,100,189.873
245,1.0939,0.7423,17,61.568
246,1.0971,0.7496,21,70.803
247,0.7906,0.7321,100,220.988
